Year,quarter_num,year_qtr_sort,Full_Day,Part_Day,Total_Reef_Visits,year,quarter,dom_inbound,intl_inbound,total_inbound
2016,Jan-Mar 2016,20161.0,214513.0,26125.0,240638.0,2016,1,479867,83911,563778
2016,Apr-Jun 2016,20162.0,159947.0,15140.0,175087.0,2016,2,494429,65229,559658
2016,Jul-Sep 2016,20163.0,226543.0,25357.0,251900.0,2016,3,589501,84473,673974
2016,Oct-Dec 2016,20164.0,218929.0,20080.0,239009.0,2016,4,555984,79961,635945
2017,Jan-Mar 2017,20171.0,201801.0,21079.0,222880.0,2017,1,478113,82566,560679
2017,Apr-Jun 2017,20172.0,169729.0,12328.0,182057.0,2017,2,515251,66699,581950
2017,Jul-Sep 2017,20173.0,223760.0,23748.0,247508.0,2017,3,596402,89452,685854
2017,Oct-Dec 2017,20174.0,222460.0,18556.0,241016.0,2017,4,561183,81403,642586
2018,Jan-Mar 2018,20181.0,210350.0,16879.0,227229.0,2018,1,493154,92072,585226
2018,Apr-Jun 2018,20182.0,162157.0,14379.0,176536.0,2018,2,503903,67051,570954
2018,Jul-Sep 2018,20183.0,221087.0,22370.0,243457.0,2018,3,596440,91961,688401
2018,Oct-Dec 2018,20184.0,202801.0,15754.0,218555.0,2018,4,548369,79407,627776
2019,Jan-Mar 2019,20191.0,177717.0,15674.0,193391.0,2019,1,454799,93557,548356
2019,Apr-Jun 2019,20192.0,154996.0,13024.0,168020.0,2019,2,497902,70151,568053
2019,Jul-Sep 2019,20193.0,207793.0,17136.0,224929.0,2019,3,573553,92044,665597
2019,Oct-Dec 2019,20194.0,204011.0,15684.0,219695.0,2019,4,535051,76493,611544
2020,Jan-Mar 2020,20201.0,139456.0,10665.0,150121.0,2020,1,367312,63684,430996
2020,Apr-Jun 2020,20202.0,1762.0,390.0,2152.0,2020,2,21667,169,21836
2020,Jul-Sep 2020,20203.0,40557.0,3909.0,44466.0,2020,3,164998,226,165224
2020,Oct-Dec 2020,20204.0,58669.0,4592.0,63261.0,2020,4,230100,747,230847
2021,Jan-Mar 2021,20211.0,50980.0,5697.0,56677.0,2021,1,237500,622,238122
2021,Apr-Jun 2021,20212.0,106637.0,11879.0,118516.0,2021,2,412793,283,413076
2021,Jul-Sep 2021,20213.0,61831.0,7983.0,69814.0,2021,3,230006,434,230440
2021,Oct-Dec 2021,20214.0,60363.0,7014.0,67377.0,2021,4,274256,0,274256
2022,Jan-Mar 2022,20221.0,72210.0,4587.0,76797.0,2022,1,288893,107,289000
2022,Apr-Jun 2022,20222.0,122263.0,8903.0,131166.0,2022,2,510790,7911,518701
2022,Jul-Sep 2022,20223.0,179112.0,12011.0,191123.0,2022,3,548689,29223,577912
2022,Oct-Dec 2022,20224.0,168837.0,11266.0,180103.0,2022,4,493200,29220,522420
2023,Jan-Mar 2023,20231.0,134951.0,6490.0,141441.0,2023,1,399696,47652,447348
2023,Apr-Jun 2023,20232.0,143766.0,9549.0,153315.0,2023,2,502748,53780,556528
2023,Jul-Sep 2023,20233.0,169348.0,13705.0,183053.0,2023,3,576175,81196,657371
2023,Oct-Dec 2023,20234.0,150549.0,10453.0,161002.0,2023,4,495921,75225,571146
2024,Jan-Mar 2024,20241.0,139987.0,8927.0,148914.0,2024,1,441425,79713,521138
2024,Apr-Jun 2024,20242.0,135883.0,7908.0,143791.0,2024,2,502778,66481,569259
2024,Jul-Sep 2024,20243.0,166367.0,14497.0,180864.0,2024,3,578039,82666,660705
2024,Oct-Dec 2024,20244.0,165156.0,16086.0,181242.0,2024,4,515416,84954,600370
2025,Jan-Mar 2025,20251.0,131349.0,12619.0,143968.0,2025,1,438082,88853,526935
2025,Apr-Jun 2025,20252.0,131805.0,13351.0,145156.0,2025,2,520918,77352,598270
2025,Jul-Sep 2025,20253.0,181059.0,24007.0,205066.0,2025,3,598451,92070,690521
2025,Oct-Dec 2025,20254.0,164173.0,19539.0,183712.0,2025,4,525871,82773,608644
