year_qtr_sort,year,quarter,year_qtr_label,rainfall_mm,months_in_qtr,severe_event,is_severe
20091,2009,1,Q1 2009,1640.0,3,,0
20092,2009,2,Q2 2009,225.6,3,,0
20093,2009,3,Q3 2009,16.6,3,,0
20094,2009,4,Q4 2009,317.2,3,,0
20101,2010,1,Q1 2010,1423.6,3,,0
20102,2010,2,Q2 2010,294.2,3,,0
20103,2010,3,Q3 2010,191.0,3,,0
20104,2010,4,Q4 2010,751.0,3,TC Tasha + Dec 2010 floods,1
20111,2011,1,Q1 2011,1811.2,3,Severe TC Yasi,1
20112,2011,2,Q2 2011,148.6,3,,0
20113,2011,3,Q3 2011,35.6,3,,0
20114,2011,4,Q4 2011,627.8,3,,0
20121,2012,1,Q1 2012,1531.2,3,,0
20122,2012,2,Q2 2012,316.4,3,,0
20123,2012,3,Q3 2012,62.4,3,,0
20124,2012,4,Q4 2012,93.4,3,,0
20131,2013,1,Q1 2013,627.2,3,,0
20132,2013,2,Q2 2013,292.8,3,,0
20133,2013,3,Q3 2013,84.8,3,,0
20134,2013,4,Q4 2013,263.8,3,,0
20141,2014,1,Q1 2014,1138.2,3,,0
20142,2014,2,Q2 2014,523.2,3,Severe TC Ita,1
20143,2014,3,Q3 2014,46.0,3,,0
20144,2014,4,Q4 2014,119.2,3,,0
20151,2015,1,Q1 2015,1048.2,3,,0
20152,2015,2,Q2 2015,288.2,3,,0
20153,2015,3,Q3 2015,55.0,3,,0
20154,2015,4,Q4 2015,515.0,3,,0
20161,2016,1,Q1 2016,683.0,3,Ex-TC Winston (regional rain),1
20162,2016,2,Q2 2016,399.4,3,,0
20163,2016,3,Q3 2016,175.8,3,,0
20164,2016,4,Q4 2016,145.0,3,,0
20171,2017,1,Q1 2017,590.8,3,,0
20172,2017,2,Q2 2017,284.8,3,,0
20173,2017,3,Q3 2017,99.9,3,,0
20174,2017,4,Q4 2017,308.5,3,,0
20181,2018,1,Q1 2018,1818.8,3,Ex-TC Nora flash flooding,1
20182,2018,2,Q2 2018,110.2,3,,0
20183,2018,3,Q3 2018,54.4,3,,0
20184,2018,4,Q4 2018,827.9,3,TC Owen,1
20191,2019,1,Q1 2019,1573.4,3,2019 NQ monsoon floods,1
20192,2019,2,Q2 2019,401.5,3,,0
20193,2019,3,Q3 2019,66.5,3,,0
20194,2019,4,Q4 2019,156.6,3,,0
20201,2020,1,Q1 2020,959.8,3,,0
20202,2020,2,Q2 2020,256.7,3,,0
20203,2020,3,Q3 2020,102.4,3,,0
20204,2020,4,Q4 2020,267.7,3,,0
20211,2021,1,Q1 2021,1221.6,3,TC Niran,1
20212,2021,2,Q2 2021,954.0,3,,0
20213,2021,3,Q3 2021,88.4,3,,0
20214,2021,4,Q4 2021,221.5,3,,0
20221,2022,1,Q1 2022,863.1,3,,0
20222,2022,2,Q2 2022,565.2,3,,0
20223,2022,3,Q3 2022,180.6,3,,0
20224,2022,4,Q4 2022,436.8,3,,0
20231,2023,1,Q1 2023,1276.0,3,,0
20232,2023,2,Q2 2023,239.7,3,,0
20233,2023,3,Q3 2023,213.0,3,,0
20234,2023,4,Q4 2023,910.4,3,Ex-TC Jasper flooding,1
20241,2024,1,Q1 2024,1556.7,3,March 2024 monsoon floods,1
20242,2024,2,Q2 2024,449.4,3,,0
20243,2024,3,Q3 2024,150.3,3,,0
20244,2024,4,Q4 2024,743.4,3,,0
20251,2025,1,Q1 2025,1575.9,3,,0
20252,2025,2,Q2 2025,205.6,3,,0
20253,2025,3,Q3 2025,171.0,3,,0
20254,2025,4,Q4 2025,413.6,3,,0
20261,2026,1,Q1 2026,1487.4,3,Jan 2026 NQ monsoon floods,1
20262,2026,2,Q2 2026,294.8,3,,0
