year_qtr_sort,year,quarter,cpi_index,inflation_yoy
20091,2009,1,85.91,2.44
20092,2009,2,86.28,1.42
20093,2009,3,87.11,1.19
20094,2009,4,87.58,2.06
20101,2010,1,88.41,2.92
20102,2010,2,88.97,3.12
20103,2010,3,89.62,2.88
20104,2010,4,89.99,2.76
20111,2011,1,91.29,3.26
20112,2011,2,92.13,3.55
20113,2011,3,92.69,3.42
20114,2011,4,92.69,2.99
20121,2012,1,92.78,1.63
20122,2012,2,93.24,1.21
20123,2012,3,94.54,2.0
20124,2012,4,94.73,2.2
20131,2013,1,95.1,2.5
20132,2013,2,95.47,2.39
20133,2013,3,96.59,2.16
20134,2013,4,97.33,2.75
20141,2014,1,97.89,2.93
20142,2014,2,98.35,3.02
20143,2014,3,98.82,2.31
20144,2014,4,99.0,1.72
20151,2015,1,99.19,1.33
20152,2015,2,99.84,1.51
20153,2015,3,100.3,1.5
20154,2015,4,100.67,1.69
20161,2016,1,100.49,1.31
20162,2016,2,100.86,1.02
20163,2016,3,101.6,1.3
20164,2016,4,102.16,1.48
20171,2017,1,102.62,2.13
20172,2017,2,102.81,1.93
20173,2017,3,103.46,1.83
20174,2017,4,104.11,1.91
20181,2018,1,104.57,1.9
20182,2018,2,104.95,2.08
20183,2018,3,105.41,1.89
20184,2018,4,105.97,1.78
20191,2019,1,105.97,1.33
20192,2019,2,106.62,1.59
20193,2019,3,107.17,1.67
20194,2019,4,107.92,1.84
20201,2020,1,108.29,2.19
20202,2020,2,106.25,-0.35
20203,2020,3,107.92,0.69
20204,2020,4,108.85,0.86
20211,2021,1,109.5,1.11
20212,2021,2,110.33,3.85
20213,2021,3,111.17,3.01
20214,2021,4,112.65,3.5
20221,2022,1,115.07,5.09
20222,2022,2,117.11,6.14
20223,2022,3,119.25,7.27
20224,2022,4,121.48,7.83
20231,2023,1,123.15,7.02
20232,2023,2,124.17,6.03
20233,2023,3,125.66,5.37
20234,2023,4,126.4,4.05
20241,2024,1,127.61,3.62
20242,2024,2,128.91,3.81
20243,2024,3,129.18,2.81
20244,2024,4,129.46,2.42
20251,2025,1,130.67,2.4
